dataset,seed,mode,ari,nmi,status
varying_density,43,saddle_cut,0.5258397017744296,0.6848410984910857,ok
varying_density,43,manifold_filter,0.5258397017744296,0.6848410984910857,ok
varying_density,44,raw_length,0.7382406114254653,0.7454557725111852,ok
varying_density,44,local_scale,0.5276458534009216,0.7008441953621152,ok
varying_density,44,knn_median,0.5300572940258785,0.7058982450941396,ok
varying_density,44,supported_merge,0.5276458534009216,0.7008441953621152,ok
varying_density,44,saddle_cut,0.5276458534009216,0.7008441953621152,ok
varying_density,44,manifold_filter,0.5276458534009216,0.7008441953621152,ok
varying_density,45,raw_length,0.7640141022541714,0.7691973710698065,ok
varying_density,45,local_scale,0.5280928548146242,0.6972059220303974,ok
varying_density,45,knn_median,0.5300572940258785,0.7058982450941396,ok
varying_density,45,supported_merge,0.5280928548146242,0.6972059220303974,ok
varying_density,45,saddle_cut,0.5280928548146242,0.6972059220303974,ok
varying_density,45,manifold_filter,0.5280928548146242,0.6972059220303974,ok
varying_density,46,raw_length,0.5984176220433355,0.6476129090775533,ok
varying_density,46,local_scale,0.5281744341800495,0.6929128313579663,ok
varying_density,46,knn_median,0.5301436870311622,0.7005340893873753,ok
varying_density,46,supported_merge,0.5281744341800495,0.6929128313579663,ok
varying_density,46,saddle_cut,0.5281744341800495,0.6929128313579663,ok
varying_density,46,manifold_filter,0.5281744341800495,0.6929128313579663,ok
